Track Name,Artist(s) Name,Album Name,Release Date,Popularity Score,Track URL,Total Tracks,Cover Art URL
Classy 101,"Feid, Young Miko",Classy 101,2023-03-31,93,https://open.spotify.com/track/6XSqqQIy7Lm7SnwxS4NrGx,1,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",Zach Bryan,2023-08-25,92,https://open.spotify.com/track/4KULAymBBJcPRpk1yO4dOG,16,https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef
Primera Cita,Carin Leon,Colmillo De Leche,2023-05-19,86,https://open.spotify.com/track/25OeKzcqakFPaJlXHPE5lm,18,https://i.scdn.co/image/ab67616d0000b2730e30fcf494fd711ad068d1cd
Slow Dancing,V,Layover,2023-09-08,94,https://open.spotify.com/track/5h1BN75CEh8wdSwE1xrbSe,6,https://i.scdn.co/image/ab67616d0000b2738e504c5aedaae49a73ed4963
Sprinter,"Dave, Central Cee",Sprinter,2023-06-01,93,https://open.spotify.com/track/2FDTHlrBguDzQkp7PVj16Q,1,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60
Chaleya,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar",Jawan,2023-09-05,80,https://open.spotify.com/track/3xMHXmedL5Rvfxmiar9Ryv,7,https://i.scdn.co/image/ab67616d0000b273e452a6e11147f3e56aee6f5b
Holanda,Jhayco,Holanda,2023-07-28,92,https://open.spotify.com/track/6irysuQyZWd7Bjj7ePiOs2,1,https://i.scdn.co/image/ab67616d0000b273cd2ceb6adaa32ecc83cec5c3
Blank Space,Taylor Swift,1989,2014-10-27,81,https://open.spotify.com/track/1p80LdxRV74UKvL8gnD7ky,13,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
Style,Taylor Swift,1989,2014-10-27,81,https://open.spotify.com/track/4lIxdJw6W3Fg4vUIYCB0S5,13,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
Die For You,The Weeknd,Starboy,2016-11-24,89,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,18,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a
Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,2012-12-07,90,https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh,10,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"The Weeknd, Playboi Carti, Madonna",Popular (Music from the HBO Original Series),2023-06-02,92,https://open.spotify.com/track/6WzRpISELf3YglGAh7TXcG,1,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d
un x100to,"Grupo Frontera, Bad Bunny",El Comienzo,2023-08-25,83,https://open.spotify.com/track/2yzshFeBIwH8tWIqHEFLeD,12,https://i.scdn.co/image/ab67616d0000b27382ce4c7bbf861185252e82ae
Flowers,Miley Cyrus,Endless Summer Vacation,2023-08-18,75,https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0,14,https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5
Another Love,Tom Odell,Long Way Down (Deluxe),2013-06-24,90,https://open.spotify.com/track/3JvKfv6T31zO0ini8iNItO,15,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f
Sweater Weather,The Neighbourhood,I Love You.,2013-04-19,91,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,11,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921
Anti-Hero,Taylor Swift,Midnights,2022-10-21,92,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,13,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
Super Shy,NewJeans,NewJeans 'Super Shy',2023-07-07,92,https://open.spotify.com/track/5sdQOyqq2IDhvmx2lHOpwd,2,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af
La Bebe - Remix,"Yng Lvcas, Peso Pluma",La Bebe (Remix),2023-03-17,93,https://open.spotify.com/track/2UW7JaomAMuX9pZrjVpHAU,2,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
Ella Baila Sola,"Eslabon Armado, Peso Pluma",DESVELADO,2023-04-28,86,https://open.spotify.com/track/3qQbCzHBycnDpGskqOWY0E,16,https://i.scdn.co/image/ab67616d0000b273dfddf1cb31b85a6d28b7d91f
I KNOW ?,Travis Scott,UTOPIA,2023-07-28,92,https://open.spotify.com/track/6wsqVwoiVH2kde4k4KKAFU,19,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
Calm Down (with Selena Gomez),"Rema, Selena Gomez",Rave & Roses Ultra,2023-04-27,80,https://open.spotify.com/track/1s7oOCT8vauUh01PbJD6ps,22,https://i.scdn.co/image/ab67616d0000b273963265801aa5c9740ad159b7
